feature,importance
sale_unit_value,23.3310583674253
sale_subtotal,14.85741350978945
ticket_price_to_event_average,13.782197022861613
ticket_is_courtesy,10.34914018367596
ticket_price,9.813898605749413
ticket_is_paid,9.574963916960337
boom_tickets_used_expected,2.0712512417998763
purchase_lead_hours,1.6837960677782622
event_residency_weekday,1.5666482623123121
purchase_lead_days,1.1798671048631517
event_remaining_capacity,0.8621196081238445
match_status,0.7066529609606214
boom_friends_count_expected,0.7039772315667113
boom_use_rate_expected,0.5215858713878997
event_fill_rate,0.5171559310982115
ticket_type,0.49315279956818925
sales_channel,0.4918289333583071
event_courtesy_count,0.45520927279315077
event_paid_count,0.41096152955702525
event_preferential_share,0.40968876325370973
boom_points_expected,0.40877129262687373
event_hour,0.3961849977651884
ticket_boom_identity_weight,0.36420828018348983
event_average_ticket_price,0.3521167630879212
ticket_boom_history_weight,0.33141139858518537
sale_boom_history_weight,0.31653128979036
event_paid_share,0.31289628516148155
boom_tickets_total_expected,0.2589421043163205
event_preferential_count,0.2498426661661535
boom_sin_match_probability,0.24004646021342427
event_vip_count,0.22796422233733415
event_capacity,0.2121573721840581
event_tickets_sold,0.2067482924018775
event_gross_revenue,0.19639070545774204
event_day_of_month,0.1954484732528666
boom_candidate_count,0.17624805230913732
event_general_share,0.1682239976598115
event_general_count,0.16274821624863764
event_vip_share,0.15995600830631362
event_ticket_count,0.1552106412929532
sale_boom_identity_weight,0.14998942120972153
hard_match_confidence,0.1471146587631598
event_is_residency,0.13624674601005818
event_courtesy_share,0.12775376423431878
event_week_of_month,0.11287552191865964
event_is_paid,0.10342147169784985
sale_qty,0.09783890689639364
boom_membership_probability,0.06506594020758541
sale_is_multi_ticket,0.06055488253414678
event_residency_venue,0.059201283866900475
boom_top_candidate_probability,0.05196469736668185
event_is_weekend,0.013358001064013632
event_city,0.0
event_artist_id,0.0
event_weekday,0.0
event_venue,0.0
