fold,model,validation_events,event_mae,event_rmse,event_wape,event_bias_pred_minus_actual,predicted_total,actual_total,ticket_log_loss,ticket_brier,ticket_auc
1,ticket_type_baseline,7,9.767901113637496,11.29068877986364,0.05760346065329611,0.3504471718621381,1189.453130203035,1187.0,0.42628360987216213,0.1378383605818007,0.8198182670453174
1,logistic_regression,7,16.357195127954462,26.865156345082937,0.09646197632323608,6.062073868124081,1229.4345170768686,1187.0,0.436872900853774,0.14064659804840618,0.8267850728333235
1,catboost,7,8.007804369193561,9.017316441988283,0.04722378313761999,-1.2837795229362274,1178.0135433394464,1187.0,0.4187363701450591,0.13432729908746918,0.8494944434690022
1,xgboost,7,9.344704006399427,10.79713705793441,0.055107774258463346,-0.8570141621998378,1181.0009008646011,1187.0,0.42289185430859944,0.13547617983220642,0.8408668800469072
2,ticket_type_baseline,7,4.186056537249576,5.303506226196916,0.02774848083404075,-0.08252275496328057,1055.422340715257,1056.0,0.3795746462826552,0.1181985015240806,0.8209509871441689
2,logistic_regression,7,7.324095894663417,11.840997427337443,0.04854987808962492,5.548350633745811,1094.8384544362207,1056.0,0.37881151095096127,0.11794353894209234,0.8519441574839303
2,catboost,7,3.3579169281356047,4.278366792252053,0.022258919031201925,1.0254049588678527,1063.177834712075,1056.0,0.3741958343973667,0.11661595634033753,0.8495638200183655
2,xgboost,7,4.228183435542243,5.883208482975881,0.02802773110681411,2.6085494671549116,1074.2598462700844,1056.0,0.38363676635365285,0.1191566526046533,0.8346260904499541
3,ticket_type_baseline,6,13.297524204517101,18.29992207282307,0.06637699270141648,-7.855482075444459,1154.8671075473333,1202.0,0.38662088437930614,0.12291151473770906,0.8146051308083515
3,logistic_regression,6,6.886349383156464,10.491173433776494,0.03437445615552311,-4.798126996761153,1173.211238019433,1202.0,0.375458823636735,0.11799098190102257,0.8484153059401938
3,catboost,6,11.036953567741316,16.35687087275194,0.05509294626160391,-5.734069492750621,1167.5955830434964,1202.0,0.379027850923767,0.12022926805216637,0.8433930736907416
3,xgboost,6,13.250932092467943,19.409832339989496,0.06614441976273516,-5.548187226057053,1168.7108766436577,1202.0,0.3881103732489535,0.12335752027890141,0.8253746110531411
4,ticket_type_baseline,6,5.719033599805152,7.135611773211834,0.047724897912143134,1.4730173658461314,727.8381041950768,719.0,0.3830691979454899,0.12106570982701148,0.8425528965869932
4,logistic_regression,6,6.690638413162201,7.513854582058648,0.055832865756569136,3.100754791478748,737.6045287488724,719.0,0.3780912505146645,0.11899867683617309,0.8715928480277592
4,catboost,6,5.10315988045036,6.3866797489420515,0.04258547883546893,2.7720879803094243,735.6325278818565,719.0,0.37975798406650635,0.1198689029135465,0.8683667178068051
4,xgboost,6,6.725673511624336,8.868102564905922,0.05612523097322116,5.331879650553067,750.9912779033184,719.0,0.38278985291417883,0.12129535278396036,0.861417394338261
5,ticket_type_baseline,6,6.672924857409534,8.942366617228828,0.049736085893735654,3.9805999804670074,828.8835998828022,805.0,0.34389442318728103,0.10370828605374754,0.8538911216660577
5,logistic_regression,6,8.272232882744932,8.866263963353543,0.06165639415710509,-1.8774293903489572,793.7354236579063,805.0,0.34809040451878115,0.10300502229254117,0.8706832298136645
5,catboost,6,3.8938263166936466,5.23074943757656,0.029022307950511653,3.269848231095024,824.6190893865701,805.0,0.33756907196818037,0.10147343495193378,0.8721300694190719
5,xgboost,6,2.763770372917255,3.3784387348923604,0.020599530729818048,2.0525199783345065,817.315119870007,805.0,0.3391364334336373,0.10130672726700993,0.8721008403361346
