rank,model,event_mae,event_rmse,event_wape,event_bias_pred_minus_actual,predicted_total,actual_total,ticket_log_loss,ticket_brier,ticket_auc
1,catboost,6.242615239706753,9.205128976929096,0.040201989871325436,0.0012055738576357555,4969.038578363445,4969.0,0.38170495918679337,0.12005884721930717,0.8551326840214234
2,xgboost,7.232889623614028,10.981695383733369,0.0465792851591163,0.7274381734896451,4992.278021551669,4969.0,0.38751379659211777,0.12178713579171728,0.8459234475654362
3,ticket_type_baseline,7.869206235206256,11.016845005069632,0.05067711803715037,-0.3917411705154976,4956.464282543504,4969.0,0.38798653782011605,0.12243144700704911,0.8212910920496581
4,logistic_regression,9.277011288522084,15.313822517208832,0.05974328058617563,1.8695050606031585,5028.824161939301,4969.0,0.38785292115835535,0.12153278528847576,0.8516075193868844
